#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
9300,-357811.19711432327,301.2743534791038,238.21970577109477
9400,-358727.15805182327,299.9310299192647,238.21970577109477
9500,-358779.02523932327,299.27315635560484,238.21970577109477
9600,-359187.83773932327,300.62595382813095,238.21970577109477
9700,-358734.82211432327,298.17931206672796,238.21970577109477
9800,-359173.15023932327,300.2581671081231,238.21970577109477
9900,-358519.70492682327,299.7401897405477,238.21970577109477
10000,-358008.04867682327,299.9270998038648,238.21970577109477
10100,-359538.7306637056,303.7184105598045,234.00179727515356
10200,-359815.941857402,302.2086758705222,232.33986166106314
10300,-360143.9274907736,300.31597274421523,232.15391475171754
10400,-360436.4431157736,300.7211226517225,232.15391475171754
10500,-360838.4632402784,301.56369458538813,231.3982813748312
10600,-361112.3654670338,300.53262196751086,230.97699464634468
10700,-360615.02962484956,298.80135734702577,231.05118335911772
10800,-360354.40462484956,296.34788695440153,231.05118335911772
10900,-361076.12337484956,300.82117669283014,231.05118335911772
11000,-361406.4750134037,301.55950312342645,230.57482306219023
11100,-360915.0609509037,301.67196286977673,230.57482306219023
11200,-360812.3681136358,304.0550857159327,230.50170246482583
11300,-359819.1962386358,299.4308656936669,230.50170246482583
11400,-361325.52844815,306.30380484397,229.89919479362516
11500,-360128.67315730033,300.5286002642978,228.59121524362385
11600,-361156.86846980033,304.2833505452607,228.59121524362385
11700,-361082.30141729885,301.78364713445563,227.3954459695808
11800,-361023.1367014118,297.79264249126334,226.63378626896954
11900,-361089.94391254266,298.7451466249099,226.77085147481716
12000,-361347.663096996,300.40146821663444,226.51257832731847
12100,-361124.131846996,300.2205203150573,226.51257832731847
12200,-360311.069346996,298.77171839586276,226.51257832731847
12300,-360836.78411319526,298.9081599825982,226.45059612379245
12400,-361242.46723737824,302.54609026443813,227.10466633542757
12500,-360816.56764643337,300.660192663777,226.94606939986016
12600,-361002.5098424847,300.96039192074323,227.24768095567316
12700,-360854.6093181721,299.54092747790827,226.46746120901952
12800,-360743.2811931721,300.6610465018388,226.46746120901952
12900,-361191.0624431721,302.4249098097757,226.46746120901952
13000,-360952.5780681721,300.73978518029423,226.46746120901952
